Lead_ID,Stage_Name,Stage_Status,Stage_Date,Drop_Reason
HL10004,Loan Disbursed,Pending,7/2/2024,
HL10005,Lead Contacted,Completed,1/13/2025,
HL10005,Lead Qualified,Dropped,1/20/2025,Customer not reachable
HL10005,Document Collection,Pending,1/24/2025,
HL10005,Credit Check,Pending,1/28/2025,
HL10005,Property Valuation,Pending,1/30/2025,
HL10005,Legal Verification,Pending,2/4/2025,
HL10005,Sanction Approved,Pending,2/8/2025,
HL10005,Loan Disbursed,Pending,2/9/2025,
HL10006,Lead Contacted,Completed,9/26/2024,
HL10006,Lead Qualified,Completed,10/2/2024,
HL10006,Document Collection,Completed,10/9/2024,
HL10006,Credit Check,Completed,10/12/2024,
HL10006,Property Valuation,Completed,10/15/2024,
HL10006,Legal Verification,Completed,10/19/2024,
HL10006,Sanction Approved,Completed,10/23/2024,
HL10006,Loan Disbursed,Completed,10/27/2024,
HL10007,Lead Contacted,Completed,11/25/2024,
HL10007,Lead Qualified,Completed,12/4/2024,
HL10007,Document Collection,Completed,12/6/2024,
HL10007,Credit Check,Completed,12/13/2024,
HL10007,Property Valuation,Completed,12/19/2024,
HL10007,Legal Verification,Completed,12/20/2024,
HL10007,Sanction Approved,Dropped,12/23/2024,Document incomplete
HL10007,Loan Disbursed,Pending,1/1/2025,
HL10008,Lead Contacted,Completed,4/16/2024,
HL10008,Lead Qualified,Completed,4/20/2024,
HL10008,Document Collection,Completed,4/21/2024,
HL10008,Credit Check,Dropped,4/28/2024,High FOIR
HL10008,Property Valuation,Pending,5/1/2024,
HL10008,Legal Verification,Pending,5/5/2024,
HL10008,Sanction Approved,Pending,5/7/2024,
HL10008,Loan Disbursed,Pending,5/10/2024,
HL10009,Lead Contacted,Completed,1/20/2025,
HL10009,Lead Qualified,Completed,1/24/2025,
HL10009,Document Collection,Completed,1/31/2025,
HL10009,Credit Check,Completed,2/3/2025,
HL10009,Property Valuation,Completed,2/4/2025,
HL10009,Legal Verification,Dropped,2/13/2025,Low eligibility
HL10009,Sanction Approved,Pending,2/14/2025,
HL10009,Loan Disbursed,Pending,2/15/2025,
HL10010,Lead Contacted,Completed,2/6/2024,
HL10010,Lead Qualified,Completed,2/15/2024,
HL10010,Document Collection,Completed,2/17/2024,
HL10010,Credit Check,Completed,2/23/2024,
HL10010,Property Valuation,Completed,2/27/2024,
HL10010,Legal Verification,Completed,3/7/2024,
HL10010,Sanction Approved,Completed,3/14/2024,
HL10010,Loan Disbursed,Completed,3/17/2024,
HL10011,Lead Contacted,Completed,5/4/2024,
HL10011,Lead Qualified,Completed,5/6/2024,
HL10011,Document Collection,Dropped,5/10/2024,Changed mind
HL10011,Credit Check,Pending,5/19/2024,
HL10011,Property Valuation,Pending,5/28/2024,
HL10011,Legal Verification,Pending,6/3/2024,
HL10011,Sanction Approved,Pending,6/7/2024,
HL10011,Loan Disbursed,Pending,6/14/2024,
HL10012,Lead Contacted,Completed,1/18/2024,
HL10012,Lead Qualified,Dropped,1/20/2024,Low eligibility
HL10012,Document Collection,Pending,1/25/2024,
HL10012,Credit Check,Pending,1/31/2024,
HL10012,Property Valuation,Pending,2/5/2024,
HL10012,Legal Verification,Pending,2/14/2024,
HL10012,Sanction Approved,Pending,2/15/2024,
HL10012,Loan Disbursed,Pending,2/18/2024,
HL10013,Lead Contacted,Completed,1/17/2024,
HL10013,Lead Qualified,Completed,1/26/2024,
HL10013,Document Collection,Completed,1/29/2024,
HL10013,Credit Check,Completed,2/7/2024,
HL10013,Property Valuation,Completed,2/14/2024,
HL10013,Legal Verification,Dropped,2/21/2024,Customer not reachable
HL10013,Sanction Approved,Pending,2/28/2024,
HL10013,Loan Disbursed,Pending,3/8/2024,
HL10014,Lead Contacted,Completed,9/28/2024,
HL10014,Lead Qualified,Completed,9/30/2024,
HL10014,Document Collection,Completed,10/5/2024,
HL10014,Credit Check,Completed,10/13/2024,
HL10014,Property Valuation,Completed,10/22/2024,
HL10014,Legal Verification,Completed,10/29/2024,
HL10014,Sanction Approved,Completed,11/4/2024,
HL10014,Loan Disbursed,Completed,11/7/2024,
HL10015,Lead Contacted,Completed,5/27/2024,
HL10015,Lead Qualified,Completed,5/28/2024,
HL10015,Document Collection,Dropped,5/29/2024,Document incomplete
HL10015,Credit Check,Pending,6/2/2024,
HL10015,Property Valuation,Pending,6/4/2024,
HL10015,Legal Verification,Pending,6/11/2024,
HL10015,Sanction Approved,Pending,6/13/2024,
HL10015,Loan Disbursed,Pending,6/15/2024,
HL10016,Lead Contacted,Completed,10/28/2024,
HL10016,Lead Qualified,Completed,11/3/2024,
HL10016,Document Collection,Completed,11/5/2024,
HL10016,Credit Check,Completed,11/13/2024,
HL10016,Property Valuation,Dropped,11/22/2024,Customer not reachable
HL10016,Legal Verification,Pending,11/25/2024,
HL10016,Sanction Approved,Pending,11/29/2024,
HL10016,Loan Disbursed,Pending,12/7/2024,
HL10017,Lead Contacted,Dropped,1/3/2025,High FOIR
HL10017,Lead Qualified,Pending,1/11/2025,
HL10017,Document Collection,Pending,1/14/2025,
HL10017,Credit Check,Pending,1/21/2025,
HL10017,Property Valuation,Pending,1/29/2025,
HL10017,Legal Verification,Pending,2/1/2025,
HL10017,Sanction Approved,Pending,2/3/2025,
HL10017,Loan Disbursed,Pending,2/10/2025,
HL10018,Lead Contacted,Completed,4/29/2024,
HL10018,Lead Qualified,Completed,5/2/2024,
HL10018,Document Collection,Completed,5/9/2024,
HL10018,Credit Check,Completed,5/17/2024,
HL10018,Property Valuation,Completed,5/22/2024,
HL10018,Legal Verification,Completed,5/27/2024,
HL10018,Sanction Approved,Completed,5/28/2024,
HL10018,Loan Disbursed,Completed,5/29/2024,
HL10019,Lead Contacted,Completed,8/27/2024,
HL10019,Lead Qualified,Completed,9/3/2024,
HL10019,Document Collection,Completed,9/4/2024,
HL10019,Credit Check,Completed,9/6/2024,
HL10019,Property Valuation,Dropped,9/8/2024,Customer not reachable
HL10019,Legal Verification,Pending,9/14/2024,
HL10019,Sanction Approved,Pending,9/22/2024,
HL10019,Loan Disbursed,Pending,9/24/2024,
HL10020,Lead Contacted,Completed,2/11/2024,
HL10020,Lead Qualified,Completed,2/12/2024,
HL10020,Document Collection,Completed,2/18/2024,
HL10020,Credit Check,Completed,2/24/2024,
HL10020,Property Valuation,Dropped,3/2/2024,Customer not reachable
HL10020,Legal Verification,Pending,3/5/2024,
HL10020,Sanction Approved,Pending,3/11/2024,
HL10020,Loan Disbursed,Pending,3/14/2024,
HL10021,Lead Contacted,Completed,6/24/2024,
HL10021,Lead Qualified,Completed,7/3/2024,
HL10021,Document Collection,Completed,7/12/2024,
HL10021,Credit Check,Completed,7/19/2024,
HL10021,Property Valuation,Completed,7/23/2024,
HL10021,Legal Verification,Completed,7/25/2024,
HL10021,Sanction Approved,Completed,7/27/2024,
HL10021,Loan Disbursed,Completed,7/30/2024,
HL10022,Lead Contacted,Completed,1/18/2024,
HL10022,Lead Qualified,Dropped,1/25/2024,Changed mind
HL10022,Document Collection,Pending,1/26/2024,
HL10022,Credit Check,Pending,1/29/2024,
HL10022,Property Valuation,Pending,2/1/2024,
HL10022,Legal Verification,Pending,2/3/2024,
HL10022,Sanction Approved,Pending,2/10/2024,
HL10022,Loan Disbursed,Pending,2/19/2024,
HL10023,Lead Contacted,Completed,5/6/2024,
HL10023,Lead Qualified,Dropped,5/15/2024,Low eligibility
HL10023,Document Collection,Pending,5/19/2024,
HL10023,Credit Check,Pending,5/24/2024,
HL10023,Property Valuation,Pending,5/25/2024,
HL10023,Legal Verification,Pending,5/27/2024,
HL10023,Sanction Approved,Pending,6/5/2024,
HL10023,Loan Disbursed,Pending,6/7/2024,
HL10024,Lead Contacted,Completed,6/1/2024,
HL10024,Lead Qualified,Completed,6/5/2024,
HL10024,Document Collection,Dropped,6/8/2024,Changed mind
HL10024,Credit Check,Pending,6/14/2024,
HL10024,Property Valuation,Pending,6/23/2024,
HL10024,Legal Verification,Pending,6/24/2024,
HL10024,Sanction Approved,Pending,6/27/2024,
HL10024,Loan Disbursed,Pending,6/29/2024,
HL10025,Lead Contacted,Completed,8/12/2024,
HL10025,Lead Qualified,Completed,8/15/2024,
HL10025,Document Collection,Completed,8/18/2024,
HL10025,Credit Check,Completed,8/27/2024,
HL10025,Property Valuation,Completed,9/1/2024,
HL10025,Legal Verification,Completed,9/3/2024,
HL10025,Sanction Approved,Completed,9/10/2024,
HL10025,Loan Disbursed,Completed,9/11/2024,
HL10026,Lead Contacted,Completed,1/11/2025,
HL10026,Lead Qualified,Completed,1/15/2025,
HL10026,Document Collection,Completed,1/16/2025,
HL10026,Credit Check,Dropped,1/24/2025,Customer not reachable
HL10026,Property Valuation,Pending,1/28/2025,
HL10026,Legal Verification,Pending,1/31/2025,
HL10026,Sanction Approved,Pending,2/7/2025,
HL10026,Loan Disbursed,Pending,2/9/2025,
HL10027,Lead Contacted,Completed,9/19/2024,
HL10027,Lead Qualified,Dropped,9/24/2024,Low eligibility
HL10027,Document Collection,Pending,10/3/2024,
HL10027,Credit Check,Pending,10/8/2024,
HL10027,Property Valuation,Pending,10/13/2024,
HL10027,Legal Verification,Pending,10/16/2024,
HL10027,Sanction Approved,Pending,10/17/2024,
HL10027,Loan Disbursed,Pending,10/19/2024,
HL10028,Lead Contacted,Completed,9/25/2024,
HL10028,Lead Qualified,Completed,9/30/2024,
HL10028,Document Collection,Dropped,10/7/2024,Document incomplete
HL10028,Credit Check,Pending,10/16/2024,
HL10028,Property Valuation,Pending,10/18/2024,
HL10028,Legal Verification,Pending,10/26/2024,
HL10028,Sanction Approved,Pending,11/4/2024,
HL10028,Loan Disbursed,Pending,11/7/2024,
HL10029,Lead Contacted,Completed,12/29/2024,
HL10029,Lead Qualified,Completed,1/3/2025,
HL10029,Document Collection,Dropped,1/8/2025,Document incomplete
HL10029,Credit Check,Pending,1/12/2025,
HL10029,Property Valuation,Pending,1/18/2025,
HL10029,Legal Verification,Pending,1/22/2025,
HL10029,Sanction Approved,Pending,1/24/2025,
HL10029,Loan Disbursed,Pending,2/2/2025,
HL10030,Lead Contacted,Completed,1/10/2024,
HL10030,Lead Qualified,Completed,1/13/2024,
HL10030,Document Collection,Completed,1/16/2024,
HL10030,Credit Check,Dropped,1/19/2024,Customer not reachable
HL10030,Property Valuation,Pending,1/28/2024,
HL10030,Legal Verification,Pending,2/6/2024,
HL10030,Sanction Approved,Pending,2/9/2024,
HL10030,Loan Disbursed,Pending,2/12/2024,
HL10031,Lead Contacted,Completed,2/5/2025,
HL10031,Lead Qualified,Completed,2/12/2025,
HL10031,Document Collection,Completed,2/18/2025,
HL10031,Credit Check,Completed,2/23/2025,
HL10031,Property Valuation,Dropped,2/28/2025,Changed mind
HL10031,Legal Verification,Pending,3/8/2025,
HL10031,Sanction Approved,Pending,3/16/2025,
HL10031,Loan Disbursed,Pending,3/22/2025,
HL10032,Lead Contacted,Dropped,12/27/2024,Changed mind
HL10032,Lead Qualified,Pending,12/29/2024,
HL10032,Document Collection,Pending,1/2/2025,
HL10032,Credit Check,Pending,1/4/2025,
HL10032,Property Valuation,Pending,1/8/2025,
HL10032,Legal Verification,Pending,1/15/2025,
HL10032,Sanction Approved,Pending,1/24/2025,
HL10032,Loan Disbursed,Pending,2/1/2025,
HL10033,Lead Contacted,Completed,4/24/2024,
HL10033,Lead Qualified,Completed,5/1/2024,
HL10033,Document Collection,Completed,5/3/2024,
HL10033,Credit Check,Completed,5/4/2024,
HL10033,Property Valuation,Completed,5/10/2024,
HL10033,Legal Verification,Completed,5/18/2024,
HL10033,Sanction Approved,Completed,5/20/2024,
HL10033,Loan Disbursed,Dropped,5/25/2024,High FOIR
HL10034,Lead Contacted,Completed,3/28/2024,
HL10034,Lead Qualified,Completed,3/30/2024,
HL10034,Document Collection,Completed,4/4/2024,
HL10034,Credit Check,Completed,4/5/2024,
HL10034,Property Valuation,Completed,4/10/2024,
HL10034,Legal Verification,Dropped,4/19/2024,Customer not reachable
HL10034,Sanction Approved,Pending,4/20/2024,
HL10034,Loan Disbursed,Pending,4/24/2024,
HL10035,Lead Contacted,Completed,8/6/2024,
HL10035,Lead Qualified,Completed,8/8/2024,
HL10035,Document Collection,Completed,8/9/2024,
HL10035,Credit Check,Completed,8/11/2024,
HL10035,Property Valuation,Completed,8/17/2024,
HL10035,Legal Verification,Completed,8/23/2024,
HL10035,Sanction Approved,Completed,8/28/2024,
HL10035,Loan Disbursed,Completed,9/6/2024,
HL10036,Lead Contacted,Completed,5/8/2024,
HL10036,Lead Qualified,Dropped,5/9/2024,Low eligibility
HL10036,Document Collection,Pending,5/16/2024,
HL10036,Credit Check,Pending,5/19/2024,
HL10036,Property Valuation,Pending,5/27/2024,
HL10036,Legal Verification,Pending,5/30/2024,
HL10036,Sanction Approved,Pending,5/31/2024,
HL10036,Loan Disbursed,Pending,6/5/2024,
HL10037,Lead Contacted,Dropped,5/15/2024,Low eligibility
HL10037,Lead Qualified,Pending,5/16/2024,
HL10037,Document Collection,Pending,5/25/2024,
HL10037,Credit Check,Pending,5/31/2024,
HL10037,Property Valuation,Pending,6/8/2024,
HL10037,Legal Verification,Pending,6/12/2024,
HL10037,Sanction Approved,Pending,6/21/2024,
HL10037,Loan Disbursed,Pending,6/23/2024,
HL10038,Lead Contacted,Completed,12/8/2024,
HL10038,Lead Qualified,Completed,12/11/2024,
HL10038,Document Collection,Completed,12/18/2024,
HL10038,Credit Check,Completed,12/19/2024,
HL10038,Property Valuation,Dropped,12/21/2024,Customer not reachable
HL10038,Legal Verification,Pending,12/30/2024,
HL10038,Sanction Approved,Pending,1/5/2025,
HL10038,Loan Disbursed,Pending,1/12/2025,
HL10039,Lead Contacted,Completed,7/23/2024,
HL10039,Lead Qualified,Completed,7/24/2024,
HL10039,Document Collection,Completed,7/28/2024,
HL10039,Credit Check,Completed,8/5/2024,
HL10039,Property Valuation,Dropped,8/11/2024,Customer not reachable
HL10039,Legal Verification,Pending,8/20/2024,
HL10039,Sanction Approved,Pending,8/24/2024,
HL10039,Loan Disbursed,Pending,8/26/2024,
HL10040,Lead Contacted,Completed,1/24/2024,
HL10040,Lead Qualified,Completed,1/27/2024,
HL10040,Document Collection,Dropped,1/31/2024,Low eligibility
HL10040,Credit Check,Pending,2/6/2024,
HL10040,Property Valuation,Pending,2/12/2024,
HL10040,Legal Verification,Pending,2/15/2024,
HL10040,Sanction Approved,Pending,2/20/2024,
HL10040,Loan Disbursed,Pending,2/23/2024,
HL10041,Lead Contacted,Completed,5/10/2024,
HL10041,Lead Qualified,Completed,5/14/2024,
HL10041,Document Collection,Completed,5/17/2024,
HL10041,Credit Check,Completed,5/22/2024,
HL10041,Property Valuation,Completed,5/24/2024,
HL10041,Legal Verification,Completed,5/26/2024,
HL10041,Sanction Approved,Completed,5/30/2024,
HL10041,Loan Disbursed,Completed,6/1/2024,
HL10042,Lead Contacted,Completed,1/15/2024,
HL10042,Lead Qualified,Completed,1/23/2024,
HL10042,Document Collection,Dropped,1/31/2024,Document incomplete
HL10042,Credit Check,Pending,2/5/2024,
HL10042,Property Valuation,Pending,2/7/2024,
HL10042,Legal Verification,Pending,2/14/2024,
HL10042,Sanction Approved,Pending,2/16/2024,
HL10042,Loan Disbursed,Pending,2/22/2024,
HL10043,Lead Contacted,Completed,3/30/2024,
HL10043,Lead Qualified,Dropped,4/2/2024,Document incomplete
HL10043,Document Collection,Pending,4/7/2024,
HL10043,Credit Check,Pending,4/14/2024,
HL10043,Property Valuation,Pending,4/22/2024,
HL10043,Legal Verification,Pending,4/29/2024,
HL10043,Sanction Approved,Pending,5/8/2024,
HL10043,Loan Disbursed,Pending,5/13/2024,
HL10044,Lead Contacted,Completed,11/28/2024,
HL10044,Lead Qualified,Completed,12/3/2024,
HL10044,Document Collection,Completed,12/5/2024,
HL10044,Credit Check,Completed,12/10/2024,
HL10044,Property Valuation,Completed,12/18/2024,
HL10044,Legal Verification,Completed,12/21/2024,
HL10044,Sanction Approved,Completed,12/26/2024,
HL10044,Loan Disbursed,Completed,12/27/2024,
HL10045,Lead Contacted,Completed,12/20/2024,
HL10045,Lead Qualified,Completed,12/22/2024,
HL10045,Document Collection,Dropped,12/25/2024,Customer not reachable
HL10045,Credit Check,Pending,12/29/2024,
HL10045,Property Valuation,Pending,12/31/2024,
HL10045,Legal Verification,Pending,1/2/2025,
HL10045,Sanction Approved,Pending,1/9/2025,
HL10045,Loan Disbursed,Pending,1/10/2025,
HL10046,Lead Contacted,Completed,9/19/2024,
HL10046,Lead Qualified,Completed,9/25/2024,
HL10046,Document Collection,Completed,10/1/2024,
HL10046,Credit Check,Completed,10/9/2024,
HL10046,Property Valuation,Completed,10/17/2024,
HL10046,Legal Verification,Completed,10/25/2024,
HL10046,Sanction Approved,Dropped,10/31/2024,Changed mind
HL10046,Loan Disbursed,Pending,11/6/2024,
HL10047,Lead Contacted,Completed,1/28/2025,
HL10047,Lead Qualified,Completed,2/6/2025,
HL10047,Document Collection,Dropped,2/14/2025,Low eligibility
HL10047,Credit Check,Pending,2/21/2025,
HL10047,Property Valuation,Pending,2/28/2025,
HL10047,Legal Verification,Pending,3/5/2025,
HL10047,Sanction Approved,Pending,3/7/2025,
HL10047,Loan Disbursed,Pending,3/13/2025,
HL10048,Lead Contacted,Completed,5/8/2024,
HL10048,Lead Qualified,Dropped,5/10/2024,Document incomplete
HL10048,Document Collection,Pending,5/12/2024,
HL10048,Credit Check,Pending,5/20/2024,
HL10048,Property Valuation,Pending,5/28/2024,
HL10048,Legal Verification,Pending,6/3/2024,
HL10048,Sanction Approved,Pending,6/8/2024,
HL10048,Loan Disbursed,Pending,6/16/2024,
HL10049,Lead Contacted,Completed,11/6/2024,
HL10049,Lead Qualified,Completed,11/7/2024,
HL10049,Document Collection,Completed,11/15/2024,
HL10049,Credit Check,Completed,11/24/2024,
HL10049,Property Valuation,Completed,12/1/2024,
HL10049,Legal Verification,Completed,12/8/2024,
HL10049,Sanction Approved,Completed,12/13/2024,
HL10049,Loan Disbursed,Completed,12/17/2024,
HL10050,Lead Contacted,Completed,10/2/2024,
HL10050,Lead Qualified,Completed,10/7/2024,
HL10050,Document Collection,Completed,10/11/2024,
HL10050,Credit Check,Completed,10/19/2024,
HL10050,Property Valuation,Dropped,10/26/2024,Document incomplete
HL10050,Legal Verification,Pending,11/2/2024,
HL10050,Sanction Approved,Pending,11/9/2024,
HL10050,Loan Disbursed,Pending,11/11/2024,
HL10051,Lead Contacted,Completed,1/26/2025,
HL10051,Lead Qualified,Completed,1/28/2025,
HL10051,Document Collection,Completed,2/6/2025,
HL10051,Credit Check,Completed,2/15/2025,
HL10051,Property Valuation,Completed,2/22/2025,
HL10051,Legal Verification,Completed,3/2/2025,
HL10051,Sanction Approved,Completed,3/6/2025,
HL10051,Loan Disbursed,Completed,3/11/2025,
HL10052,Lead Contacted,Completed,5/20/2024,
HL10052,Lead Qualified,Dropped,5/23/2024,Changed mind
HL10052,Document Collection,Pending,5/29/2024,
HL10052,Credit Check,Pending,6/1/2024,
HL10052,Property Valuation,Pending,6/6/2024,
HL10052,Legal Verification,Pending,6/15/2024,
HL10052,Sanction Approved,Pending,6/17/2024,
HL10052,Loan Disbursed,Pending,6/19/2024,
HL10053,Lead Contacted,Completed,11/30/2024,
HL10053,Lead Qualified,Completed,12/8/2024,
HL10053,Document Collection,Dropped,12/10/2024,High FOIR
HL10053,Credit Check,Pending,12/19/2024,
HL10053,Property Valuation,Pending,12/21/2024,
HL10053,Legal Verification,Pending,12/22/2024,
HL10053,Sanction Approved,Pending,12/24/2024,
HL10053,Loan Disbursed,Pending,12/31/2024,
HL10054,Lead Contacted,Completed,1/8/2024,
HL10054,Lead Qualified,Completed,1/14/2024,
HL10054,Document Collection,Completed,1/22/2024,
HL10054,Credit Check,Completed,1/23/2024,
HL10054,Property Valuation,Completed,1/24/2024,
HL10054,Legal Verification,Completed,1/29/2024,
HL10054,Sanction Approved,Completed,2/6/2024,
HL10054,Loan Disbursed,Dropped,2/8/2024,Customer not reachable
HL10055,Lead Contacted,Completed,1/15/2024,
HL10055,Lead Qualified,Completed,1/22/2024,
HL10055,Document Collection,Completed,1/28/2024,
HL10055,Credit Check,Dropped,2/6/2024,Changed mind
HL10055,Property Valuation,Pending,2/9/2024,
HL10055,Legal Verification,Pending,2/16/2024,
HL10055,Sanction Approved,Pending,2/24/2024,
HL10055,Loan Disbursed,Pending,2/26/2024,
HL10056,Lead Contacted,Completed,9/14/2024,
HL10056,Lead Qualified,Completed,9/17/2024,
HL10056,Document Collection,Completed,9/23/2024,
HL10056,Credit Check,Completed,9/28/2024,
HL10056,Property Valuation,Completed,10/6/2024,
HL10056,Legal Verification,Completed,10/7/2024,
HL10056,Sanction Approved,Dropped,10/11/2024,Changed mind
HL10056,Loan Disbursed,Pending,10/17/2024,
HL10057,Lead Contacted,Completed,5/27/2024,
HL10057,Lead Qualified,Completed,5/28/2024,
HL10057,Document Collection,Completed,6/2/2024,
HL10057,Credit Check,Completed,6/7/2024,
HL10057,Property Valuation,Completed,6/15/2024,
HL10057,Legal Verification,Completed,6/16/2024,
HL10057,Sanction Approved,Completed,6/24/2024,
HL10057,Loan Disbursed,Completed,6/25/2024,
HL10058,Lead Contacted,Completed,5/12/2024,
HL10058,Lead Qualified,Completed,5/21/2024,
HL10058,Document Collection,Completed,5/27/2024,
HL10058,Credit Check,Completed,6/1/2024,
HL10058,Property Valuation,Completed,6/8/2024,
HL10058,Legal Verification,Completed,6/9/2024,
HL10058,Sanction Approved,Completed,6/13/2024,
HL10058,Loan Disbursed,Dropped,6/21/2024,Customer not reachable
HL10059,Lead Contacted,Completed,11/8/2024,
HL10059,Lead Qualified,Completed,11/15/2024,
HL10059,Document Collection,Completed,11/22/2024,
HL10059,Credit Check,Completed,11/30/2024,
HL10059,Property Valuation,Completed,12/7/2024,
HL10059,Legal Verification,Completed,12/14/2024,
HL10059,Sanction Approved,Completed,12/22/2024,
HL10059,Loan Disbursed,Dropped,12/24/2024,Customer not reachable
HL10060,Lead Contacted,Dropped,8/22/2024,Low eligibility
HL10060,Lead Qualified,Pending,8/29/2024,
HL10060,Document Collection,Pending,9/2/2024,
HL10060,Credit Check,Pending,9/11/2024,
HL10060,Property Valuation,Pending,9/19/2024,
HL10060,Legal Verification,Pending,9/20/2024,
HL10060,Sanction Approved,Pending,9/22/2024,
HL10060,Loan Disbursed,Pending,9/24/2024,
HL10061,Lead Contacted,Completed,1/18/2024,
HL10061,Lead Qualified,Completed,1/22/2024,
HL10061,Document Collection,Dropped,1/27/2024,Low eligibility
HL10061,Credit Check,Pending,2/5/2024,
HL10061,Property Valuation,Pending,2/12/2024,
HL10061,Legal Verification,Pending,2/20/2024,
HL10061,Sanction Approved,Pending,2/29/2024,
HL10061,Loan Disbursed,Pending,3/7/2024,
HL10062,Lead Contacted,Completed,8/4/2024,
HL10062,Lead Qualified,Dropped,8/10/2024,High FOIR
HL10062,Document Collection,Pending,8/15/2024,
HL10062,Credit Check,Pending,8/24/2024,
HL10062,Property Valuation,Pending,8/27/2024,
HL10062,Legal Verification,Pending,8/30/2024,
HL10062,Sanction Approved,Pending,9/6/2024,
HL10062,Loan Disbursed,Pending,9/13/2024,
HL10063,Lead Contacted,Completed,4/24/2024,
HL10063,Lead Qualified,Dropped,5/1/2024,Changed mind
HL10063,Document Collection,Pending,5/6/2024,
HL10063,Credit Check,Pending,5/13/2024,
HL10063,Property Valuation,Pending,5/15/2024,
HL10063,Legal Verification,Pending,5/21/2024,
HL10063,Sanction Approved,Pending,5/29/2024,
HL10063,Loan Disbursed,Pending,5/30/2024,
HL10064,Lead Contacted,Completed,1/9/2024,
HL10064,Lead Qualified,Completed,1/17/2024,
HL10064,Document Collection,Completed,1/18/2024,
HL10064,Credit Check,Completed,1/20/2024,
HL10064,Property Valuation,Dropped,1/21/2024,Document incomplete
HL10064,Legal Verification,Pending,1/24/2024,
HL10064,Sanction Approved,Pending,2/1/2024,
HL10064,Loan Disbursed,Pending,2/9/2024,
HL10065,Lead Contacted,Completed,10/24/2024,
HL10065,Lead Qualified,Completed,11/2/2024,
HL10065,Document Collection,Completed,11/9/2024,
HL10065,Credit Check,Completed,11/18/2024,
HL10065,Property Valuation,Completed,11/27/2024,
HL10065,Legal Verification,Completed,12/3/2024,
HL10065,Sanction Approved,Dropped,12/7/2024,Document incomplete
HL10065,Loan Disbursed,Pending,12/10/2024,
HL10066,Lead Contacted,Completed,1/4/2025,
HL10066,Lead Qualified,Completed,1/9/2025,
HL10066,Document Collection,Dropped,1/17/2025,Changed mind
HL10066,Credit Check,Pending,1/26/2025,
HL10066,Property Valuation,Pending,1/30/2025,
HL10066,Legal Verification,Pending,2/5/2025,
HL10066,Sanction Approved,Pending,2/13/2025,
HL10066,Loan Disbursed,Pending,2/22/2025,
HL10067,Lead Contacted,Completed,9/15/2024,
HL10067,Lead Qualified,Completed,9/20/2024,
HL10067,Document Collection,Completed,9/26/2024,
HL10067,Credit Check,Completed,10/4/2024,
HL10067,Property Valuation,Completed,10/7/2024,
HL10067,Legal Verification,Completed,10/12/2024,
HL10067,Sanction Approved,Completed,10/18/2024,
HL10067,Loan Disbursed,Completed,10/24/2024,
HL10068,Lead Contacted,Completed,1/16/2024,
HL10068,Lead Qualified,Dropped,1/17/2024,High FOIR
HL10068,Document Collection,Pending,1/23/2024,
HL10068,Credit Check,Pending,1/30/2024,
HL10068,Property Valuation,Pending,2/7/2024,
HL10068,Legal Verification,Pending,2/14/2024,
HL10068,Sanction Approved,Pending,2/20/2024,
HL10068,Loan Disbursed,Pending,2/29/2024,
HL10069,Lead Contacted,Completed,9/2/2024,
HL10069,Lead Qualified,Completed,9/3/2024,
HL10069,Document Collection,Completed,9/4/2024,
